"","fips","name","adi","financial_strength","economic_hardship_and_inequality","educational_attainment","year","total_population","fips_found","AR_found","ED_found","HE_found","HU_found","OT_found","acled_all","demonstrations","strategic_developments","political_violence","political_violence_demonstrations","fips_density","AR_density","ED_density","HU_density","OT_density","HE_density","cdev_density","cdev_nf","cdev_found","fips_nf","AR_nf","ED_nf","HU_nf","OT_nf","HE_nf","state_code"
"1","01001","Autauga County, Alabama",91.7314698992962,108.265139178486,94.1752784607306,109.540453238609,2020,55639,0,0,0,0,0,0,0,0,0,0,0,116,9,7,45,52,3,4,4,0,116,9,7,45,52,3,"01"
"2","01003","Baldwin County, Alabama",82.7856505016884,114.198070912862,83.61905453804,112.029631064787,2020,218289,1,0,0,0,0,1,6,6,0,0,0,529,40,59,167,234,29,10,10,0,529,40,59,167,234,29,"01"
"3","01005","Barbour County, Alabama",132.556424570581,80.704327123598,133.466897451293,72.1270105212502,2020,25026,1,1,0,0,0,0,0,0,0,0,0,64,10,5,12,36,1,2,2,0,64,10,5,12,36,1,"01"
"4","01007","Bibb County, Alabama",115.790620563611,86.2114485482757,112.939311262254,90.4742892779748,2020,22374,0,0,0,0,0,0,2,2,0,0,0,43,2,5,11,23,2,1,1,0,43,2,5,11,23,2,"01"
"5","01009","Blount County, Alabama",104.741476375794,92.0577638579134,96.7360860641285,89.0176838667084,2020,57755,0,0,0,0,0,0,0,0,0,0,0,72,5,8,20,34,5,1,1,0,72,5,8,20,34,5,"01"
"6","01011","Bullock County, Alabama",132.482242223899,76.5369686084701,131.620338383269,83.0072176012309,2020,10173,0,0,0,0,0,0,0,0,0,0,0,34,2,4,13,13,2,5,5,0,34,2,4,13,13,2,"01"
"7","01013","Butler County, Alabama",111.32542766069,84.859570434474,109.142022119752,104.526929425175,2020,19726,0,0,0,0,0,0,0,0,0,0,0,43,5,7,15,16,0,2,2,0,43,5,7,15,16,0,"01"
"8","01015","Calhoun County, Alabama",107.242200164472,90.9252893230001,105.225837818574,99.4657923999682,2020,114324,1,0,0,0,0,1,6,6,0,0,0,255,18,36,77,101,23,7,7,0,254,18,36,77,100,23,"01"
"9","01017","Chambers County, Alabama",112.294618511689,84.4253117576008,104.043672617149,80.6860756253234,2020,33427,0,0,0,0,0,0,0,0,0,0,0,64,4,6,21,32,1,3,3,0,64,4,6,21,32,1,"01"
"10","01019","Cherokee County, Alabama",102.143065518179,91.7655538414971,92.1042713972067,92.6308762904526,2020,26035,0,0,0,0,0,0,1,1,0,0,0,43,8,1,14,18,2,4,4,0,43,8,1,14,18,2,"01"
"11","01021","Chilton County, Alabama",110.957921019158,84.6733345188665,102.972970124671,90.795027666988,2020,44147,1,0,0,0,1,0,0,0,0,0,0,72,4,7,26,33,2,1,1,0,72,4,7,26,33,2,"01"
